epoch,exp_it,exp_iter,seg_and_cls,use_seg_ratio,case_id,s_cfs
1,51,4,2,0.0,A03,"[0.0, 0.0, 0.410920934100201, 0.21479036033172477]"
1,51,4,2,0.0,A04,"[0.0, 0.0, 0.0, 0.8028569210465026]"
1,51,4,2,0.0,A05,"[0.0, 0.1160352824472506, 0.12806670586348817, 0.5623937887571719]"
1,51,4,2,0.0,A07,"[0.0, 0.17538629492777966, 0.0, 0.7575758391284689]"
1,51,4,2,0.0,A09,"[0.0, 0.0791743932919455, 0.38344040732546053, 0.6004684909021908]"
1,51,4,2,0.0,A10,"[0.0, 0.0, 0.014308148665154423, 0.4062548953222196]"
1,54,5,0,0.0,A02,"[0.0, 0.0, 0.058412824957743525, 0.006153766500803429]"
1,54,5,0,0.0,A03,"[0.0, 0.0, 0.09293421212603792, 0.0]"
1,54,5,0,0.0,A04,"[0.0, 0.0, 0.0, 0.0]"
1,54,5,0,0.0,A05,"[0.0, 0.0, 0.025524496036489232, 0.0]"
1,54,5,0,0.0,A07,"[0.0, 0.0, 0.0, 0.0012608794634257395]"
1,54,5,0,0.0,A09,"[0.0, 0.0, 0.252420998980632, 0.0005447667861061452]"
1,54,5,0,0.0,A10,"[0.0, 0.0, 0.0213923003044731, 0.003270534527986918]"
1,57,4,1,0.0,A02,"[0.0, 0.24517392286644296, 0.07978145785258585, 0.5912384922798332]"
1,57,4,1,0.0,A03,"[0.0, 0.0, 0.5618927877471711, 0.1727520091121939]"
1,57,4,1,0.0,A04,"[0.0, 0.0, 0.0, 0.8700675426695803]"
1,57,4,1,0.0,A05,"[0.0, 0.08047141527964437, 0.07276929821065635, 0.5795596794184282]"
1,57,4,1,0.0,A07,"[0.0, 0.2691512942856069, 0.0, 0.764663098871181]"
1,57,4,1,0.0,A09,"[0.0, 0.05322812251669479, 0.11342445088885132, 0.6336951131638536]"
1,57,4,1,0.0,A10,"[0.0, 0.0, 0.0, 0.49783844493186274]"
1,73,3,0,0.0,A02,"[0.0, 0.0008156081646669958, 0.0, 0.5769286734932243]"
1,73,3,0,0.0,A03,"[0.0, 0.0, 0.0, 0.11816072487086121]"
1,73,3,0,0.0,A04,"[0.0, 0.0, 0.0, 0.8793202200216614]"
1,73,3,0,0.0,A05,"[0.0, 0.003500273458863974, 0.0, 0.5432346106462468]"
1,73,3,0,0.0,A07,"[0.0, 0.0, 0.0, 0.7505749143293402]"
1,73,3,0,0.0,A09,"[0.0, 0.0, 0.0, 0.6148820719611372]"
1,73,3,0,0.0,A10,"[0.0, 0.0, 0.0, 0.540553802817429]"
1,157,2,0,0.0,A02,"[0.0, 0.06841215347476677, 0.05393195334235177, 0.0]"
1,157,2,0,0.0,A03,"[0.0, 0.0, 0.07852140077821011, 0.0]"
1,157,2,0,0.0,A04,"[0.0, 0.0, 0.0, 0.00016555503359732464]"
1,157,2,0,0.0,A05,"[0.0, 0.11534160217813473, 0.006744432011526848, 0.000679338211359101]"
1,157,2,0,0.0,A07,"[0.0, 0.03462381541678116, 0.0, 4.675259403845986e-05]"
1,157,2,0,0.0,A09,"[0.0, 0.03414730990669049, 0.21215163167386938, 0.0]"
1,157,2,0,0.0,A10,"[0.0, 0.0, 0.06651861437039887, 0.0]"
1,164,5,1,0.0,A02,"[0.0, 0.18274250391059346, 0.20440619351661696, 0.5487147837992176]"
1,164,5,1,0.0,A03,"[0.0, 0.0, 0.2881006730284974, 0.2607746560295988]"
1,164,5,1,0.0,A04,"[0.0, 0.0, 0.0, 0.83686555784406]"
1,164,5,1,0.0,A05,"[0.0, 0.09703306277800708, 0.09502691357188801, 0.6226017026519509]"
1,164,5,1,0.0,A07,"[0.0, 0.160284474353337, 0.0, 0.7637044051830111]"
1,164,5,1,0.0,A09,"[0.0, 0.042622762074722244, 0.44348824270935294, 0.6177063401946417]"
1,164,5,1,0.0,A10,"[0.0, 0.0, 0.0005541152955611408, 0.44672367126867546]"
1,181,3,2,0.0,A02,"[0.0, 0.200864392128947, 0.12142639206712434, 0.5444933311108944]"
